,tmb_text,negative,neutral,positive
0,blockchain,0.0,1.0,0.0
1,,0.0,0.0,0.0
2,8 ws ds,0.0,1.0,0.0
3,,0.0,0.0,0.0
4,adde games screen enc 18 class 19 mancgames sprites 120 which 21 left man and moves 22 image load image games e def inits selfs se ini tialize man super,0.0,0.878,0.122
5,wa,0.0,1.0,0.0
6,graphql python in,0.0,1.0,0.0
7,,0.0,0.0,0.0
8,js,0.0,1.0,0.0
9,the universal serial web,0.0,1.0,0.0
10,,0.0,0.0,0.0
11,crashh s l,0.0,1.0,0.0
12,,0.0,0.0,0.0
13,ds us,0.0,1.0,0.0
14,60 asynchronous event handling,0.0,1.0,0.0
15,op 10 12 11 13 15 14,0.0,1.0,0.0
16,xit search,0.0,1.0,0.0
17,xpys python html run in your,0.0,1.0,0.0
18,,0.0,0.0,0.0
19,,0.0,0.0,0.0
20,gland sfixx micc,0.0,1.0,0.0
21,zloose sawie slquencal aensufe 0 used ban screiv 8 tighten seron are securely codanp rah onss onto oo sn cos fore t outer t reverse artto replacing o dagr see wiring reverse diag,0.113,0.812,0.075
22,,0.0,0.0,0.0
23,,0.0,0.0,0.0
24,dfixx wagd 221 cal zoa soon inline,0.0,1.0,0.0
25,,0.0,0.0,0.0
26,unlimited synk sun power,0.0,1.0,0.0
27,instructions s cunolo kmsssot s diagra reverse paroalcores s fused cordgnp s stbbsa conle shomn  c,0.0,1.0,0.0
28,v hz mo sn off v hz st off z z,0.0,1.0,0.0
29,,0.0,0.0,0.0
30,evtraining fixx part i s,0.0,1.0,0.0
31,pfixx,0.0,1.0,0.0
32,scbrider,0.0,1.0,0.0
33,g c c ile fixx electrical news weekly,0.0,1.0,0.0
34,cable tray fixx grouping factors,0.0,1.0,0.0
35,e a ofixx cites  lwus s varrng i s dea eca mallenss in eleroek scrices engnecring,0.0,1.0,0.0
36,metal trunking trunking hints tips g soooo accessories pfxx,0.0,1.0,0.0
37,sfixx performance industrial lighting,0.0,1.0,0.0
38,vie s r s s ofixx pfixx  live feed live feed dfixx,0.0,1.0,0.0
39,dfixx wards a 2os education winners,0.0,0.563,0.437
40,fidget thun bfct,0.0,1.0,0.0
41,,0.0,0.0,0.0
42,,0.0,0.0,0.0
43,plsne,0.0,1.0,0.0
44,you have all,0.0,1.0,0.0
45,las ju,0.0,1.0,0.0
46,0 st,0.0,1.0,0.0
47,,0.0,0.0,0.0
48,arrive home activate scene,0.0,1.0,0.0
49,eolin,0.0,1.0,0.0
50,,0.0,0.0,0.0
51,c,0.0,0.0,0.0
52,with everything,0.0,1.0,0.0
53,,0.0,0.0,0.0
54,,0.0,0.0,0.0
55,and this gadget iget,0.0,1.0,0.0
56,,0.0,0.0,0.0
57,youfac,0.0,1.0,0.0
58,youfal,0.0,1.0,0.0
59,st aaamr,0.0,1.0,0.0
60,ihe un lockr,0.0,1.0,0.0
61,coa un david cogen lckr theunlockicom,0.0,1.0,0.0
62,leica huawei,0.0,1.0,0.0
63,ultra,0.0,1.0,0.0
64,viust lees reck,0.0,1.0,0.0
65,ol lopfl dne ontois ly tne ralee dae lnan anatakclne d tonteolln lu t n bu hot dne noguy dutesn e s md ld nn oo c alld oil n hon uo lol want lo search orive ru solled pol pis sos g scarch loa uoltcaly upulled drmer,0.0,0.828,0.172
66,500 n isor son en de cadre,0.0,1.0,0.0
67,,0.0,0.0,0.0
68,eun lock,0.0,1.0,0.0
69,aceos eocon,0.0,1.0,0.0
70,the u ckr,0.0,1.0,0.0
71,ckr,0.0,1.0,0.0
72,eic eamc un,0.0,1.0,0.0
73,6500 pm utilities 4101 winterboard a verizon c cydia,0.0,1.0,0.0
74,h superuser request tmobile com pradapt d grants full all features access to device and storage potentially dangerous ask 15 minutes again grant deny clantl daiad oereer reod ecr,0.167,0.699,0.134
75,wan noshowarim o cr n open pees smple secksicop cck suhel wnterord bola ganel a soes seao,0.0,1.0,0.0
76,t uc ckr,0.0,1.0,0.0
77,eul lo cock out dc seqel o lhe md copulr samsing ilflila foldng phone in the modd le heres uhas en,0.078,0.922,0.0
78,un lockr lockr,0.0,1.0,0.0
79,,0.0,0.0,0.0
80,amplifier operational vi vout v,0.0,1.0,0.0
81,transient analysis first order and circuits rec rel r r c,0.0,1.0,0.0
82,differentiator opamp as r sar vn vout,0.0,1.0,0.0
83,explained ladder dac re2r 2r wa vo 2r 2r 2r ba b1 bx vief,0.0,1.0,0.0
84,voltage and current power explained,0.0,1.0,0.0
85,chip socd system on explained d o quasonn,0.0,1.0,0.0
86,decibel dbi what is dbs dbm dbw and dbv 2,0.0,1.0,0.0
87,amplitude modulation cam signal modulated signal message noain modulation signal carrier,0.0,1.0,0.0
88,signal model mosfet small lsagm vos ro s,0.0,1.0,0.0
89,and pos sop forms a b c fl fleabctabctabctabl o o o 1  e e flamotmtma tm7 o flzo247 1 s o o 1,0.0,1.0,0.0
90,solved problems on coupled magnetically circuits,0.307,0.455,0.239
91,s ohm law,0.0,1.0,0.0
92,length modulation mosfet channel ves sm source s1 drain dj gate ig wesv ve av vasesv le al ves ban,0.159,0.841,0.0
93,active explained clamper circuit o ri v vde,0.0,0.649,0.351
94,parameters ya two port va vi network ly1 vit y2 v2 12ay2 vit y2 v2,0.0,1.0,0.0
95,depletion biasing type mosfet vod ro co v ida ves vesa ov,0.0,1.0,0.0
96,transistor logic pass and gate a,0.0,1.0,0.0
97,binary generator sequence 1 11 1 o output  di ox go ds dd do oi clk cle cli cur cle clr,0.0,1.0,0.0
98,quizhl is given that it 1851 144j 823j t t basex baser basex what is the value of base xt aj5 cj12 bj3 dj6,0.0,0.897,0.103
99,quiz f9 bandwidth a of 10 khz is required for am system ifthe lowest frequency in the modulated signal is 555 khz what is the carrier component frequency in p khz al 525 ci 550 bj 560 dj 565,0.067,0.933,0.0
100,an as and land new was exposeds,0.0,1.0,0.0
101,syeal d the gyeah butlook at the face too,0.0,1.0,0.0
102,instead of like the stopping conversation,0.198,0.494,0.309
103,ny nyami mi nyami,0.0,1.0,0.0
104,jy part 7 patreon exclusive alived extinct or,0.0,0.8,0.2
105,cant,0.0,1.0,0.0
106,insane sea fish deep,0.474,0.526,0.0
107,times the wis d kash 102,0.0,1.0,0.0
108,,0.0,0.0,0.0
109,good or badb,0.0,0.408,0.592
110,clips t extinct allive bts or formosan clouded leopardi,0.146,0.854,0.0
111,the wile trmes,0.0,1.0,0.0
112,exclusvie patreon loss giant armadillo,0.365,0.635,0.0
113,animal cloned,0.0,1.0,0.0
114,wild times the f26,0.0,1.0,0.0
115,clips kt twt on inaturalistie c,0.0,1.0,0.0
116,,0.0,0.0,0.0
117,iceland whaling,0.0,1.0,0.0
118,the wild tumes bonus episode thewltiesocstcomaton,0.0,0.588,0.412
